[ 1.  1.],0.0001,1e-06,13401,[ 26.66666662  26.66666662],[ -7.06214280e-07  -7.06214280e-07]
[ 1.  1.],0.0001,1e-07,14935,[ 26.66666666  26.66666666],[ -7.06111791e-08  -7.06111791e-08]
[ 1.  1.],0.0001,1e-08,16468,[ 26.66666667  26.66666667],[ -7.07063919e-09  -7.07063919e-09]
[ 1.  1.],1e-05,0.001,88044,[ 26.66661953  26.66661953],[-0.00070709 -0.00070709]
[ 1.  1.],1e-05,0.0001,103394,[ 26.66666195  26.66666195],[ -7.07031819e-05  -7.07031819e-05]
[ 1.  1.],1e-05,1e-05,118743,[ 26.6666662  26.6666662],[ -7.07075986e-06  -7.07075986e-06]
[ 1.  1.],1e-05,1e-06,134093,[ 26.66666662  26.66666662],[ -7.07013214e-07  -7.07013214e-07]
[ 1.  1.],1e-05,1e-07,149442,[ 26.66666666  26.66666666],[ -7.07058234e-08  -7.07058234e-08]
[ 1.  1.],1e-05,1e-08,164793,[ 26.66666667  26.66666667],[ -7.07024128e-09  -7.07024128e-09]
[ 1.  1.],1e-06,0.001,880499,[ 26.66661953  26.66661953],[-0.0007071 -0.0007071]
[ 1.  1.],1e-06,0.0001,1034003,[ 26.66666195  26.66666195],[ -7.07103964e-05  -7.07103964e-05]
[ 1.  1.],1e-06,1e-05,1187508,[ 26.6666662  26.6666662],[ -7.07098803e-06  -7.07098803e-06]
[ 1.  1.],1e-06,1e-06,1341012,[ 26.66666662  26.66666662],[ -7.07105301e-07  -7.07105301e-07]
[ 1.  1.],1e-06,1e-07,1494530,[ 26.66666666  26.66666666],[ -7.07100298e-08  -7.07100298e-08]
[ 1.  1.],1e-06,1e-08,1649378,[ 26.66666667  26.66666667],[ -7.07098025e-09  -7.07098025e-09]
[ 100.  100.],0.0001,0.001,9498,[ 26.66671379  26.66671379],[ 0.00070689  0.00070689]
[ 100.  100.],0.0001,0.0001,11032,[ 26.66667138  26.66667138],[  7.06792890e-05   7.06792890e-05]
[ 100.  100.],0.0001,1e-05,12566,[ 26.66666714  26.66666714],[  7.06692265e-06   7.06692265e-06]
[ 100.  100.],0.0001,1e-06,14100,[ 26.66666671  26.66666671],[  7.06591379e-07   7.06591379e-07]
[ 100.  100.],0.0001,1e-07,15634,[ 26.66666667  26.66666667],[  7.06485821e-08   7.06485821e-08]
[ 100.  100.],0.0001,1e-08,17168,[ 26.66666667  26.66666667],[  7.06359060e-09   7.06359060e-09]
[ 100.  100.],1e-05,0.001,95043,[ 26.6667138  26.6667138],[ 0.00070702  0.00070702]
[ 100.  100.],1e-05,0.0001,110392,[ 26.66667138  26.66667138],[  7.07062522e-05   7.07062522e-05]
[ 100.  100.],1e-05,1e-05,125741,[ 26.66666714  26.66666714],[  7.07106551e-06   7.07106551e-06]
[ 100.  100.],1e-05,1e-06,141091,[ 26.66666671  26.66666671],[  7.07044819e-07   7.07044819e-07]
[ 100.  100.],1e-05,1e-07,156440,[ 26.66666667  26.66666667],[  7.07086656e-08   7.07086656e-08]
[ 100.  100.],1e-05,1e-08,171791,[ 26.66666667  26.66666667],[  7.07052550e-09   7.07052550e-09]
[ 100.  100.],1e-06,0.001,950486,[ 26.66671381  26.66671381],[ 0.0007071  0.0007071]
